epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5545.04,0.46794,0.34189,0.98125,0.99593,0.99348,0.99371,0.93714,0.29262,0.20806,0.86318,0.0005941,0.0005941,0.0005941
43,5676.84,0.46423,0.33756,0.98184,0.99726,0.99687,0.99401,0.93766,0.29054,0.20562,0.86119,0.0005842,0.0005842,0.0005842
44,5808.45,0.46407,0.3392,0.97946,0.99717,0.99667,0.99375,0.93866,0.29006,0.20297,0.8611,0.0005743,0.0005743,0.0005743
45,5940.07,0.45877,0.33616,0.97539,0.99772,0.99724,0.99407,0.9398,0.29061,0.20276,0.8614,0.0005644,0.0005644,0.0005644
46,6071.77,0.45969,0.33182,0.97688,0.99666,0.99759,0.99416,0.94086,0.28939,0.20179,0.86132,0.0005545,0.0005545,0.0005545
47,6203.45,0.46055,0.32981,0.97756,0.99663,0.99393,0.99375,0.94038,0.28659,0.20207,0.85978,0.0005446,0.0005446,0.0005446
48,6335.22,0.45286,0.32596,0.97451,0.99582,0.99409,0.99368,0.94102,0.28609,0.19846,0.8597,0.0005347,0.0005347,0.0005347
49,6466.82,0.45386,0.32669,0.9754,0.99668,0.99094,0.99368,0.93998,0.28696,0.19829,0.86086,0.0005248,0.0005248,0.0005248
50,6598.67,0.44885,0.32056,0.97216,0.99673,0.99097,0.99387,0.93957,0.28711,0.19788,0.86079,0.0005149,0.0005149,0.0005149
51,6730.48,0.45064,0.32265,0.97173,0.99266,0.99422,0.99393,0.93977,0.28629,0.19679,0.85987,0.000505,0.000505,0.000505
52,6862.28,0.44912,0.31989,0.97128,0.99209,0.99784,0.99407,0.94069,0.2865,0.19441,0.8601,0.0004951,0.0004951,0.0004951
53,6993.99,0.44837,0.31877,0.9724,0.99761,0.99444,0.99409,0.93998,0.28623,0.19365,0.86065,0.0004852,0.0004852,0.0004852
54,7125.88,0.44675,0.31677,0.97249,0.9975,0.99435,0.99411,0.9402,0.28517,0.19209,0.8601,0.0004753,0.0004753,0.0004753
55,7257.54,0.44593,0.31583,0.97056,0.99759,0.99736,0.99412,0.94138,0.28449,0.19199,0.8592,0.0004654,0.0004654,0.0004654
56,7389.19,0.43975,0.31273,0.96714,0.99683,0.99761,0.99416,0.94161,0.28462,0.19049,0.85942,0.0004555,0.0004555,0.0004555
57,7520.98,0.43722,0.30853,0.96589,0.99557,0.99784,0.9937,0.93899,0.28435,0.19084,0.8589,0.0004456,0.0004456,0.0004456
58,7652.68,0.43934,0.31187,0.9685,0.99663,0.99784,0.9937,0.93849,0.28401,0.18975,0.85845,0.0004357,0.0004357,0.0004357
59,7784.28,0.43928,0.30811,0.96856,0.99294,0.99768,0.99372,0.93825,0.28314,0.18965,0.85786,0.0004258,0.0004258,0.0004258
60,7915.98,0.43602,0.30502,0.96553,0.99692,0.99422,0.99375,0.93929,0.28271,0.18793,0.85776,0.0004159,0.0004159,0.0004159
61,8047.71,0.43452,0.30498,0.9647,0.99713,0.99424,0.99371,0.93904,0.28243,0.18725,0.85756,0.000406,0.000406,0.000406
62,8179.34,0.4307,0.29901,0.9629,0.99758,0.99455,0.99374,0.93974,0.28243,0.1872,0.85754,0.0003961,0.0003961,0.0003961
63,8310.96,0.43796,0.30534,0.96705,0.99705,0.99432,0.99381,0.93844,0.28253,0.18737,0.85749,0.0003862,0.0003862,0.0003862
64,8442.87,0.43107,0.3007,0.96339,0.99706,0.99473,0.9938,0.93913,0.28261,0.18688,0.85739,0.0003763,0.0003763,0.0003763
65,8574.57,0.42819,0.29759,0.96111,0.99804,0.99431,0.99372,0.93885,0.2825,0.1856,0.85728,0.0003664,0.0003664,0.0003664
66,8706.62,0.4273,0.29593,0.95994,0.99784,0.99453,0.99369,0.93901,0.28222,0.18519,0.85701,0.0003565,0.0003565,0.0003565
67,8838.45,0.4291,0.29671,0.96414,0.99773,0.99441,0.99374,0.93974,0.28209,0.18503,0.85683,0.0003466,0.0003466,0.0003466
68,8970.32,0.42573,0.29367,0.9606,0.99766,0.99444,0.99375,0.93975,0.28217,0.18432,0.857,0.0003367,0.0003367,0.0003367
69,9102.21,0.41997,0.29075,0.95909,0.99742,0.99436,0.99379,0.94046,0.28186,0.18423,0.85664,0.0003268,0.0003268,0.0003268
70,9233.81,0.42126,0.29206,0.96287,0.9975,0.99423,0.99394,0.94045,0.28161,0.18403,0.8566,0.0003169,0.0003169,0.0003169
71,9365.63,0.41735,0.29191,0.9573,0.9977,0.99427,0.99391,0.94024,0.28163,0.18364,0.85668,0.000307,0.000307,0.000307
72,9497.37,0.42067,0.29013,0.95868,0.99778,0.99427,0.99409,0.94022,0.28157,0.1835,0.85658,0.0002971,0.0002971,0.0002971
