epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1909.11,0.35795,0.22974,0.92592,0.99429,0.99746,0.99377,0.94543,0.25869,0.13594,0.8439,0.0005941,0.0005941,0.0005941
43,1954.04,0.35266,0.22358,0.92342,0.99564,0.99554,0.9938,0.94597,0.25551,0.13346,0.83975,0.0005842,0.0005842,0.0005842
44,1999.03,0.35248,0.22133,0.92461,0.99454,0.99751,0.99374,0.94802,0.2571,0.13152,0.84183,0.0005743,0.0005743,0.0005743
45,2043.68,0.34836,0.22173,0.91904,0.9957,0.99751,0.99386,0.9448,0.25602,0.13138,0.84061,0.0005644,0.0005644,0.0005644
46,2088.4,0.35076,0.22179,0.92172,0.99613,0.99654,0.99387,0.94555,0.25694,0.13162,0.84007,0.0005545,0.0005545,0.0005545
47,2133.36,0.34828,0.22055,0.91976,0.99481,0.99564,0.99379,0.94458,0.25657,0.13337,0.84125,0.0005446,0.0005446,0.0005446
48,2178.9,0.34461,0.21672,0.91731,0.9959,0.99638,0.99396,0.94678,0.25593,0.13205,0.8425,0.0005347,0.0005347,0.0005347
49,2223.82,0.34486,0.21614,0.91654,0.99581,0.99607,0.99394,0.94713,0.2547,0.13217,0.84222,0.0005248,0.0005248,0.0005248
50,2268.79,0.34215,0.21493,0.91846,0.99647,0.99577,0.99397,0.94783,0.25347,0.13147,0.84113,0.0005149,0.0005149,0.0005149
51,2313.98,0.33615,0.21513,0.91366,0.99668,0.99574,0.99388,0.9461,0.25386,0.13123,0.84123,0.000505,0.000505,0.000505
52,2359.19,0.34053,0.21343,0.91758,0.99489,0.99719,0.99409,0.94603,0.25475,0.1309,0.84157,0.0004951,0.0004951,0.0004951
53,2404.27,0.33712,0.2119,0.91453,0.99618,0.99528,0.99399,0.94573,0.25493,0.13123,0.84166,0.0004852,0.0004852,0.0004852
54,2449.08,0.33384,0.20907,0.91267,0.99577,0.99631,0.99405,0.94545,0.25449,0.13016,0.84152,0.0004753,0.0004753,0.0004753
55,2494.09,0.33211,0.20614,0.91047,0.99617,0.99589,0.99378,0.94627,0.25434,0.1287,0.84237,0.0004654,0.0004654,0.0004654
56,2539.35,0.33303,0.20745,0.91333,0.99629,0.99561,0.99376,0.94637,0.25365,0.12767,0.84229,0.0004555,0.0004555,0.0004555
57,2584.61,0.32945,0.2056,0.91276,0.99584,0.99521,0.99391,0.94708,0.25363,0.12814,0.84288,0.0004456,0.0004456,0.0004456
58,2629.72,0.32609,0.20228,0.91046,0.99561,0.99521,0.99396,0.94626,0.25327,0.12764,0.84268,0.0004357,0.0004357,0.0004357
59,2674.47,0.32478,0.202,0.91134,0.99486,0.9952,0.99397,0.94726,0.25278,0.12711,0.84235,0.0004258,0.0004258,0.0004258
60,2719.35,0.3272,0.19975,0.91206,0.99505,0.99541,0.99399,0.94684,0.25295,0.12759,0.84254,0.0004159,0.0004159,0.0004159
61,2764.35,0.32199,0.19703,0.90754,0.99328,0.99705,0.99398,0.94542,0.25295,0.12831,0.8424,0.000406,0.000406,0.000406
62,2809.41,0.32309,0.2012,0.9068,0.99314,0.99718,0.99407,0.94616,0.2533,0.12914,0.84245,0.0003961,0.0003961,0.0003961
63,2854.13,0.32152,0.19817,0.90838,0.99357,0.99718,0.99411,0.94701,0.25409,0.12824,0.84361,0.0003862,0.0003862,0.0003862
64,2899.03,0.32064,0.19651,0.90617,0.99279,0.99725,0.99405,0.94721,0.25433,0.12827,0.84439,0.0003763,0.0003763,0.0003763
65,2943.99,0.31446,0.19438,0.90301,0.99225,0.99709,0.99399,0.94631,0.25444,0.12881,0.84448,0.0003664,0.0003664,0.0003664
66,2989.45,0.31474,0.19422,0.90432,0.99218,0.99638,0.99389,0.94559,0.25428,0.12877,0.84444,0.0003565,0.0003565,0.0003565
