epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1400.74,0.43449,0.29721,0.95939,0.99721,0.99765,0.99411,0.94214,0.28476,0.15789,0.8569,0.0005941,0.0005941,0.0005941
43,1434.48,0.43102,0.29257,0.95715,0.99721,0.9976,0.99399,0.94074,0.28503,0.15763,0.85741,0.0005842,0.0005842,0.0005842
44,1467.8,0.42846,0.2914,0.95803,0.99617,0.9977,0.99415,0.94379,0.28413,0.15661,0.858,0.0005743,0.0005743,0.0005743
45,1501.73,0.42357,0.28999,0.95051,0.99787,0.99776,0.99423,0.9413,0.28337,0.1547,0.85769,0.0005644,0.0005644,0.0005644
46,1535.75,0.42371,0.28797,0.95248,0.99605,0.99735,0.99427,0.93951,0.28191,0.1553,0.85679,0.0005545,0.0005545,0.0005545
47,1569.17,0.42601,0.28551,0.95469,0.99674,0.99458,0.99409,0.94069,0.28099,0.15403,0.85589,0.0005446,0.0005446,0.0005446
48,1602.46,0.424,0.28515,0.9512,0.99679,0.99486,0.99403,0.94125,0.28186,0.15433,0.85655,0.0005347,0.0005347,0.0005347
49,1636.02,0.4192,0.27964,0.9483,0.99567,0.99391,0.99391,0.94014,0.28238,0.15553,0.85824,0.0005248,0.0005248,0.0005248
50,1669.58,0.4162,0.27785,0.95022,0.99631,0.99402,0.99397,0.94232,0.28007,0.15348,0.85584,0.0005149,0.0005149,0.0005149
51,1702.59,0.40868,0.27417,0.9456,0.99737,0.99416,0.99395,0.94199,0.28084,0.15117,0.85654,0.000505,0.000505,0.000505
52,1735.95,0.41168,0.27581,0.94653,0.99769,0.99784,0.99388,0.94283,0.27989,0.15095,0.85559,0.0004951,0.0004951,0.0004951
53,1769.26,0.40914,0.27166,0.94528,0.99755,0.99709,0.99399,0.94319,0.2795,0.15042,0.85511,0.0004852,0.0004852,0.0004852
54,1802.46,0.40716,0.2698,0.94326,0.99739,0.99675,0.99397,0.94375,0.27809,0.14946,0.85308,0.0004753,0.0004753,0.0004753
55,1836.06,0.40374,0.26702,0.94183,0.99613,0.99656,0.99388,0.94315,0.27716,0.14975,0.85192,0.0004654,0.0004654,0.0004654
56,1869.52,0.4052,0.26684,0.94303,0.99686,0.9937,0.99391,0.94421,0.27642,0.14852,0.8511,0.0004555,0.0004555,0.0004555
57,1902.98,0.40036,0.26273,0.94246,0.99602,0.99283,0.99383,0.94499,0.27535,0.14902,0.85069,0.0004456,0.0004456,0.0004456
58,1936.59,0.39793,0.26034,0.94061,0.99721,0.99284,0.99383,0.9445,0.27511,0.14809,0.85097,0.0004357,0.0004357,0.0004357
59,1969.85,0.3964,0.2641,0.94044,0.99593,0.99308,0.99369,0.94434,0.27514,0.14828,0.85128,0.0004258,0.0004258,0.0004258
60,2003.19,0.39515,0.25864,0.93903,0.99614,0.99291,0.99375,0.94275,0.27469,0.1475,0.85138,0.0004159,0.0004159,0.0004159
61,2036.7,0.39487,0.25604,0.93829,0.99717,0.99293,0.99389,0.94358,0.27417,0.14715,0.85165,0.000406,0.000406,0.000406
62,2069.9,0.39213,0.2562,0.93525,0.99709,0.99284,0.99396,0.94415,0.27367,0.14749,0.85123,0.0003961,0.0003961,0.0003961
63,2103.38,0.39196,0.25516,0.93684,0.997,0.99326,0.99397,0.94383,0.27319,0.14763,0.85075,0.0003862,0.0003862,0.0003862
64,2136.62,0.38777,0.25291,0.93447,0.99677,0.99357,0.994,0.94324,0.27302,0.14675,0.85057,0.0003763,0.0003763,0.0003763
65,2169.84,0.38534,0.25028,0.93309,0.99666,0.99355,0.99396,0.94362,0.27306,0.14641,0.85052,0.0003664,0.0003664,0.0003664
66,2203.24,0.38479,0.25082,0.93371,0.99677,0.9935,0.99393,0.94442,0.27279,0.14567,0.84988,0.0003565,0.0003565,0.0003565
67,2236.22,0.38256,0.25015,0.93377,0.99685,0.99329,0.99395,0.94455,0.27272,0.14562,0.84968,0.0003466,0.0003466,0.0003466
68,2269.39,0.3816,0.24735,0.93027,0.99702,0.99328,0.99395,0.9432,0.27281,0.145,0.84939,0.0003367,0.0003367,0.0003367
69,2302.67,0.37753,0.24446,0.93133,0.99711,0.99335,0.99395,0.94221,0.27309,0.14501,0.8497,0.0003268,0.0003268,0.0003268
70,2335.95,0.37952,0.24488,0.93228,0.99721,0.99331,0.99395,0.94254,0.27364,0.14452,0.8506,0.0003169,0.0003169,0.0003169
71,2369.42,0.37636,0.24261,0.93011,0.99719,0.99326,0.99397,0.94243,0.27363,0.14449,0.85078,0.000307,0.000307,0.000307
72,2402.66,0.37462,0.2416,0.92887,0.99719,0.99323,0.99398,0.9433,0.27334,0.14448,0.85073,0.0002971,0.0002971,0.0002971
